Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1673.983987286064
FDW14,OUT017,1349.5129043321313
NCN55,OUT010,471.3068466911762
FDQ58,OUT017,2432.6625807321757
FDY38,OUT027,5041.8214974468065
FDH56,OUT046,1892.0661445161284
FDL48,OUT018,790.3307954098361
FDC48,OUT027,2846.400822516553
FDN33,OUT045,1559.9736407643322
FDA36,OUT017,3190.643467582415
FDT44,OUT017,1892.0661445161284
FDQ56,OUT045,1349.5129043321313
NCC54,OUT019,471.3068466911762
FDU11,OUT049,2006.4707423197508
DRL59,OUT013,790.3307954098361
FDM24,OUT049,2432.6625807321757
FDI57,OUT045,3011.5252991596626
DRC12,OUT018,3011.5252991596626
NCM42,OUT027,2846.400822516553
FDA46,OUT010,471.3068466911762
FDA31,OUT013,2843.569789215687
NCJ31,OUT035,3549.8509475083047
FDG52,OUT046,790.3307954098361
NCL19,OUT019,207.13050352504627
FDS10,OUT035,3190.643467582415
FDX22,OUT010,471.3068466911762
NCF19,OUT035,790.3307954098361
NCE06,OUT046,2633.8398439024386
DRC27,OUT046,3805.9486041666673
FDE21,OUT035,1892.0661445161284
NCR42,OUT019,207.13050352504627
FDX51,OUT018,3011.5252991596626
NCR06,OUT018,646.0888157894736
FDU31,OUT027,5041.8214974468065
FDU59,OUT017,2633.8398439024386
FDR03,OUT027,5041.8214974468065
FDS49,OUT027,2846.400822516553
FDD48,OUT010,207.13050352504627
NCF18,OUT017,3011.5252991596626
NCD43,OUT027,2846.400822516553
NCD54,OUT018,2117.4513803278687
FDY19,OUT010,207.13050352504627
NCY54,OUT017,2843.569789215687
NCL19,OUT018,2432.6625807321757
FDP23,OUT010,471.3068466911762
FDC26,OUT013,1673.983987286064
FDR14,OUT010,207.13050352504627
NCS41,OUT035,3190.643467582415
FDF41,OUT035,3549.8509475083047
FDU34,OUT046,2117.4513803278687
DRH11,OUT046,1068.5067658349321
FDM03,OUT013,1673.983987286064
FDS31,OUT017,3190.643467582415
FDJ20,OUT017,2117.4513803278687
FDV44,OUT027,5041.8214974468065
FDG02,OUT049,3190.643467582415
FDA09,OUT013,2843.569789215687
FDT04,OUT013,646.0888157894736
FDL58,OUT019,471.3068466911762
FDE52,OUT045,1349.5129043321313
FDW12,OUT035,2432.6625807321757
FDL51,OUT017,3805.9486041666673
NCY42,OUT027,2846.400822516553
FDR07,OUT017,1559.9736407643322
FDN40,OUT045,2432.6625807321757
FDB35,OUT027,2846.400822516553
FDA22,OUT017,2633.8398439024386
NCL06,OUT046,4125.174474540678
FDI35,OUT013,3190.643467582415
NCW42,OUT045,3805.9486041666673
NCX06,OUT049,2843.569789215687
FDC37,OUT027,2846.400822516553
FDZ14,OUT018,2006.4707423197508
DRG49,OUT049,3549.8509475083047
NCG06,OUT045,4125.174474540678
DRC36,OUT045,2843.569789215687
FDV21,OUT019,207.13050352504627
FDB53,OUT046,2432.6625807321757
DRP47,OUT019,471.3068466911762
FDA14,OUT013,2432.6625807321757
DRC24,OUT035,2432.6625807321757
FDW21,OUT018,1559.9736407643322
NCH29,OUT046,1559.9736407643322
FDU58,OUT013,3190.643467582415
FDY27,OUT017,2843.569789215687
FDV56,OUT035,1673.983987286064
FDT59,OUT046,3805.9486041666673
FDB23,OUT046,3805.9486041666673
FDR49,OUT045,790.3307954098361
FDB03,OUT010,471.3068466911762
FDN39,OUT045,2633.8398439024386
FDX02,OUT027,5041.8214974468065
FDQ16,OUT027,2846.400822516553
FDU35,OUT018,1559.9736407643322
NCT29,OUT013,2006.4707423197508
FDZ27,OUT046,790.3307954098361
FDN57,OUT017,2117.4513803278687
FDA03,OUT018,2432.6625807321757
FDZ36,OUT045,3190.643467582415
NCU05,OUT013,1349.5129043321313
FDT39,OUT018,2432.6625807321757
FDK60,OUT017,1559.9736407643322
FDZ25,OUT017,2633.8398439024386
FDG12,OUT046,2006.4707423197508
DRB01,OUT019,471.3068466911762
NCC43,OUT027,5041.8214974468065
FDX13,OUT019,471.3068466911762
FDM22,OUT049,1068.5067658349321
FDJ03,OUT027,790.3307954098361
FDU14,OUT018,4125.174474540678
FDB33,OUT010,471.3068466911762
FDP27,OUT046,3011.5252991596626
FDO38,OUT010,207.13050352504627
FDE28,OUT027,5041.8214974468065
FDO27,OUT035,1559.9736407643322
DRL23,OUT027,2846.400822516553
FDS28,OUT046,1068.5067658349321
FDX24,OUT013,1349.5129043321313
FDZ02,OUT035,1559.9736407643322
FDL46,OUT045,1892.0661445161284
FDS60,OUT027,5041.8214974468065
NCO06,OUT017,646.0888157894736
FDO16,OUT035,1349.5129043321313
FDC60,OUT049,1349.5129043321313
FDA48,OUT018,3549.8509475083047
FDZ36,OUT027,5041.8214974468065
FDK27,OUT045,2006.4707423197508
FDW23,OUT018,646.0888157894736
FDM14,OUT018,1673.983987286064
FDM14,OUT013,1673.983987286064
FDW60,OUT018,2843.569789215687
FDE21,OUT013,1892.0661445161284
NCM42,OUT035,1673.983987286064
FDY59,OUT010,207.13050352504627
DRI49,OUT049,1349.5129043321313
FDT28,OUT019,471.3068466911762
