Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1658.291273679661
FDW14,OUT017,1364.5836929290992
NCN55,OUT010,588.9062712316482
FDQ58,OUT017,2470.6190062225646
FDY38,OUT027,6189.749527621512
FDH56,OUT046,1959.2919038100683
FDL48,OUT018,744.1909518817577
FDC48,OUT027,2156.813538439131
FDN33,OUT045,1502.145406285168
FDA36,OUT017,3115.3250968099524
FDT44,OUT017,1969.189899955997
FDQ56,OUT045,1362.295043045997
NCC54,OUT019,577.502283333428
FDU11,OUT049,2011.8607723331754
DRL59,OUT013,789.6951043883565
FDM24,OUT049,2446.252269715884
FDI57,OUT045,3028.0142017403223
DRC12,OUT018,2981.928935403503
NCM42,OUT027,2986.544353837436
FDA46,OUT010,494.56392223605127
FDA31,OUT013,2790.9935654397646
NCJ31,OUT035,3922.783999887309
FDG52,OUT046,759.77378087049
NCL19,OUT019,306.6202669585477
FDS10,OUT035,3013.407856595898
FDX22,OUT010,557.8150779064528
NCF19,OUT035,758.429023119942
NCE06,OUT046,2521.5729523890905
DRC27,OUT046,3938.585564304294
FDE21,OUT035,1970.6992989758617
NCR42,OUT019,91.74072070543319
FDX51,OUT018,3019.350832752222
NCR06,OUT018,616.5804237973289
FDU31,OUT027,5493.763672276702
FDU59,OUT017,2553.37340183578
FDR03,OUT027,5493.763672276702
FDS49,OUT027,2141.97184392411
FDD48,OUT010,258.98901391159256
NCF18,OUT017,3051.834598812194
NCD43,OUT027,2541.3654202053904
NCD54,OUT018,2065.9723370295683
FDY19,OUT010,259.948561123075
NCY54,OUT017,2833.5520410260438
NCL19,OUT018,2439.280634799529
FDP23,OUT010,559.1377950684953
FDC26,OUT013,1739.3531970295935
FDR14,OUT010,165.15395911903232
NCS41,OUT035,3139.6792587613904
FDF41,OUT035,3949.44767079761
FDU34,OUT046,2041.3459987095762
DRH11,OUT046,849.8621492860243
FDM03,OUT013,1655.3205539383
FDS31,OUT017,3056.7254459367027
FDJ20,OUT017,2020.1889530334208
FDV44,OUT027,5147.61607472629
FDG02,OUT049,3123.3212122956447
FDA09,OUT013,3000.6875105442805
FDT04,OUT013,614.478479021403
FDL58,OUT019,578.0007397554875
FDE52,OUT045,1386.2020430075715
FDW12,OUT035,2511.342162441444
FDL51,OUT017,3702.6489445246134
NCY42,OUT027,3367.4893988536073
FDR07,OUT017,1518.1052000988734
FDN40,OUT045,2451.3339735862605
FDB35,OUT027,2528.984514434908
